source_ip,source_port,destination_port,honeypot,country
"185.244.25.164",51005,8088,"dionaea",
"194.28.115.245",48502,33089,"dionaea",
"198.108.67.43",28865,2049,"dionaea",
"138.68.65.19",52458,8088,"dionaea",
"68.183.123.55",58715,8088,"dionaea",
"209.141.35.236",36290,8088,"dionaea",
"188.166.3.86",60045,8080,"dionaea",
"209.141.56.95",51110,8088,"dionaea",
"185.142.236.34",29011,13579,"dionaea",
"138.68.71.163",38738,8088,"dionaea",
"185.244.25.164",51006,8088,"dionaea",
"194.28.115.245",48502,6000,"dionaea",
"209.141.35.236",39042,8088,"dionaea",
"176.119.4.60",45629,50030,"dionaea",
"185.8.50.73",35635,8088,"dionaea",
"111.62.24.216",55278,6380,"dionaea",
"198.108.67.35",24549,7777,"dionaea",
"68.183.123.55",50543,8088,"dionaea",
"36.89.19.26",58050,80,"dionaea",
"80.211.11.13",37430,8088,"dionaea",
"189.102.137.92",52466,23,"dionaea",
"5.188.206.249",49475,33901,"dionaea",
"46.101.9.8",45621,8088,"dionaea",
"46.101.199.124",38272,8088,"dionaea",
"209.141.56.95",48861,8088,"dionaea",
"194.28.115.243",47603,16899,"dionaea",
"188.166.3.86",52728,8080,"dionaea",
"46.101.128.119",57784,8088,"dionaea",
"185.8.50.73",60197,8088,"dionaea",
"107.170.206.24",44352,465,"dionaea",
"68.183.123.55",44568,8088,"dionaea",
"185.244.25.164",55049,8088,"dionaea",
"188.166.3.86",41751,8080,"dionaea",
"142.93.204.158",48929,8088,"dionaea",
"46.101.9.8",42818,8088,"dionaea",
"209.141.56.95",35574,8088,"dionaea",
"138.68.65.19",56119,8088,"dionaea",
"178.62.41.160",57003,8088,"dionaea",
"188.166.73.243",57296,8088,"dionaea",
"176.119.4.27",49226,16221,"dionaea",
"176.119.7.62",48481,118,"dionaea",
"110.249.214.178",49341,6379,"dionaea",
"205.185.119.229",40415,8088,"dionaea",
"185.244.25.164",36381,8088,"dionaea",
"185.143.221.16",52090,3393,"dionaea",
"80.211.92.62",49122,8088,"dionaea",
"209.97.152.146",34831,8088,"dionaea",
"138.68.71.163",47889,8088,"dionaea",
"52.56.153.146",1429,5900,"dionaea",
"80.211.11.13",37681,8088,"dionaea",
"68.183.123.55",47768,8088,"dionaea",
"185.244.25.164",52605,8088,"dionaea",
"46.101.128.119",45577,8088,"dionaea",
"35.239.84.63",52654,3367,"dionaea",
"112.254.77.146",45345,23,"dionaea",
"185.255.31.14",46546,991,"dionaea",
"185.255.31.34",45167,1101,"dionaea",
"176.119.4.53",43141,1500,"dionaea",
"185.244.25.164",58651,8088,"dionaea",
"185.8.50.73",41549,8088,"dionaea",
"209.141.56.95",60906,8088,"dionaea",
"94.102.59.114",47819,3389,"dionaea",
"46.101.208.222",36533,8088,"dionaea",
"138.68.71.163",46394,8088,"dionaea",
"188.166.3.86",54781,8080,"dionaea",
"194.28.115.243",47603,55589,"dionaea",
"185.244.25.164",58344,8088,"dionaea",
"188.166.73.243",37826,8088,"dionaea",
"209.141.56.95",45528,8088,"dionaea",
"194.28.115.245",48502,33391,"dionaea",
"188.166.3.86",54871,8080,"dionaea",
"209.141.35.236",52910,8088,"dionaea",
"35.239.84.63",41310,8292,"dionaea",
"46.101.199.124",60241,8088,"dionaea",
"31.192.108.69",51100,3381,"dionaea",
"185.244.25.164",40885,8088,"dionaea",
"80.211.11.13",41479,8088,"dionaea",
"185.8.50.73",53458,8088,"dionaea",
"184.105.247.234",36975,9200,"dionaea",
"172.105.224.78",58099,49152,"dionaea",
"138.68.65.19",44488,8088,"dionaea",
"68.183.123.55",49609,8088,"dionaea",
"176.119.4.56",43019,3337,"dionaea",
